,zipcode,latitude,longitude
160,11377,40.74377,-73.90581999999999
161,11378,40.725404999999995,-73.8993
162,11379,40.71685,-73.87703
163,11385,40.704115,-73.90577
164,11411,40.69222,-73.735885
165,11412,40.6968,-73.75695
166,11413,40.668895,-73.752725
167,11414,40.66154,-73.84969000000001
168,11415,40.70789,-73.82984
169,11416,40.68452,-73.84626499999999
170,11417,40.67801,-73.84716999999999
171,11418,40.69937,-73.83106000000001
172,11419,40.68979,-73.82668000000001
173,11420,40.67425,-73.816235
174,11421,40.691739999999996,-73.85956
175,11422,40.657920000000004,-73.73432
176,11423,40.71573,-73.76777
177,11426,40.731585,-73.72307
178,11427,40.72517,-73.74896
179,11428,40.72048,-73.7496
180,11429,40.70755,-73.74172
181,11432,40.71156,-73.79395
182,11433,40.695215000000005,-73.785775
183,11434,40.673730000000006,-73.77707000000001
184,11435,40.704565,-73.81438
185,11436,40.67324,-73.7962
186,11559,40.59486,-73.73836999999999
187,11691,40.59751,-73.75978
188,11692,40.590900000000005,-73.79499000000001
189,11693,40.587559999999996,-73.81371
190,11694,40.574059999999996,-73.85534000000001
191,91766,40.7249,-73.82249
192,94085,40.65698,-73.89211999999999
